lat,lon,band1,band2,band3,band4,band5,band6,band7,irradiance
-8789850.0,184950.0,0.10149517850656041,0.07801922258905769,0.05493152594408568,0.2544654062587113,0.11454275279501576,294.310050674083,0.04226491726039945,205.48849242431348
-8784900.0,174600.0,0.10168216035601962,0.0839835253718069,0.0567241198642339,0.2893246450016515,0.13503853410258498,295.16132911945914,0.04867605422426613,202.32988109504115
-8775000.0,164700.0,0.10303625443395625,0.08600972121102375,0.05774157767523678,0.28719235772656804,0.15352184795000223,296.7980714717348,0.054788960979948474,198.90848432922212
-8775000.0,169650.0,0.1027918095834556,0.08095798078804474,0.05418228646902355,0.26825708839037726,0.12617660387684126,295.6927129693939,0.04407312641921936,199.92294179763513
-8775000.0,174600.0,0.10250187232638515,0.09355608091700077,0.07180222408425582,0.32885392477748604,0.20338975187222275,298.3676698145515,0.08522177572323747,210.32863209425133
-8775000.0,194850.0,0.10109125784847714,0.08774489255241709,0.05970928138055212,0.31709581457589586,0.14830924382279975,294.72037401890566,0.05638540333699044,203.90615684557042
-8769600.0,164700.0,0.10352200194173528,0.0860358688865976,0.0581938132824142,0.2954138322992325,0.13614781457739975,295.31052706847197,0.04711733266819243,198.07853465306414
-8769600.0,174600.0,0.1026082903120191,0.07983746861200773,0.052169061277834224,0.2600856205775902,0.10778904117906826,295.8175973441707,0.0349825860572101,199.91643250165134
-8769600.0,184950.0,0.1014815879417187,0.09345568303084587,0.06561000597515262,0.33516755804704007,0.18816517241737774,297.2640161582143,0.0712983590076076,205.2852818796819
-8769600.0,189900.0,0.10094313555030156,0.08314767046243379,0.053159517347872505,0.30178695688632634,0.12462957381543777,295.5843171042803,0.0413861067958489,200.30896839696354
-8769600.0,194850.0,0.1004360705608506,0.08339596499261955,0.05212063308372303,0.30559394244904253,0.1411532158057725,296.3115497781083,0.0467900066337075,201.26280337562906
-8764650.0,154800.0,0.10441793045693296,0.09278295405679797,0.06254087576103935,0.3441700753991784,0.15598904169256025,294.9120777223711,0.05698349956026475,199.11333009749126
-8764650.0,164700.0,0.1036483560638342,0.08475865084233238,0.05629558125087672,0.28453515678226887,0.11987624199713326,294.3303029092194,0.04436432557064372,198.23413486208054
-8764650.0,169650.0,0.10308183860492484,0.08288494554930459,0.050453044843188674,0.30227206186844513,0.13120582600390848,296.3600493763341,0.04285056861285025,200.29090981543587
-8764650.0,174600.0,0.10243670915073598,0.08811868705375063,0.05876064191682405,0.32130593416717695,0.15347136861301575,295.71532184436063,0.05471988910110235,198.35932876500723
-8764650.0,184950.0,0.10098257001609334,0.09125549267490796,0.05827740900034885,0.3481256091771867,0.1494267079768975,294.84088581979466,0.05514132885272175,202.74848915051257
-8764650.0,189900.0,0.10030628107726983,0.08703040065436715,0.05925553683675125,0.3089182095713079,0.15915464745216124,295.8127770961813,0.06292328219168687,201.57119701586117
-8764650.0,194850.0,0.09968423722958387,0.07917515053164648,0.052157957027183705,0.2669493027138004,0.1182814250722505,295.4131052812934,0.04083385362405008,201.38796132150597
-8759700.0,154800.0,0.10432348595698773,0.09098824365149291,0.06503972602930676,0.32680835973162964,0.15416567347926202,293.5802645194338,0.06184140005995985,203.8301132694569
-8759700.0,159750.0,0.10395164058282264,0.09612211752781578,0.07424174519496157,0.3319791514793972,0.20797395035582153,298.73238757948934,0.09639438250325025,211.47861632321198
-8759700.0,164700.0,0.10341602874531344,0.09354200315458211,0.0667312196655174,0.3320520703597078,0.16182729318322026,294.3518207401269,0.063235917228892,204.95759710631424
-8759700.0,169650.0,0.10275274137613372,0.09058896910645568,0.0617563509692855,0.3390877174997614,0.1628485823755465,294.65787965303974,0.06495066236108854,201.85844950875068
-8759700.0,174600.0,0.10200149938231674,0.09451526134488555,0.06653920061165972,0.34966435525176837,0.19377386511129502,297.1249040067564,0.07664771698218055,206.25209722907655
-8759700.0,184950.0,0.10032589396954546,0.07514214167247307,0.047934874113354134,0.23663327857955396,0.11093401994683426,296.48556379915215,0.03666877925977005,201.96217972744626
-8759700.0,189900.0,0.09955721406123673,0.0829067836821952,0.053645101591678,0.3086567797594433,0.128965202810437,295.23732693226776,0.04432922372414972,200.4646240367886
-8759700.0,244800.0,0.09753198563617027,0.08468535037658903,0.06345365879730652,0.2920940106054758,0.1514733858265725,294.47425731056853,0.06530947121969463,207.95487291832876
-8754750.0,154800.0,0.10374838916360161,0.08590910825572462,0.0595761844964769,0.2893646208900411,0.14365889601320875,295.2399871008745,0.055058937124059695,196.2347288528794
-8754750.0,159750.0,0.10336492167102426,0.09463230204823983,0.0690974276361317,0.3326569503627862,0.15597226829374974,292.3071667235059,0.06676126547488773,210.01613297236767
-8754750.0,164700.0,0.10280599240201868,0.096090880281636,0.0690439570143371,0.3433883971725229,0.179892815742731,295.1659371312356,0.07432211079651045,207.48185791190878
